Query,Context
"When was ""The Godfather"" released?","movie name: The Godfather
movie release date: 1972
movie plot: The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
rating: 9.2"
"What's the plot of ""Inception""?","movie name: Inception
movie release date: 2010
movie plot: A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
rating: 8.8"
Which movie features a story about toys coming to life?,"movie name: Toy Story
movie release date: 1995
movie plot: A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
rating: 8.3"
"What year did ""Jurassic Park"" come out?","movie name: Jurassic Park
movie release date: 1993
movie plot: A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
rating: 8.2"
"Describe the plot of ""The Matrix"".","movie name: The Matrix
movie release date: 1999
movie plot: When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.
rating: 8.7"
"When was ""Pulp Fiction"" released?","movie name: Pulp Fiction
movie release date: 1994
movie plot: The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
rating: 8.9"
"What's the story of ""Forrest Gump""?","movie name: Forrest Gump
movie release date: 1994
movie plot: The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.
rating: 8.8"
Which movie is about a group of friends on a quest to destroy a powerful ring?,"movie name: The Lord of the Rings: The Fellowship of the Ring
movie release date: 2001
movie plot: A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
rating: 8.8"
"When did ""Titanic"" hit theaters?","movie name: Titanic
movie release date: 1997
movie plot: A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.
rating: 7.9"
"What's the premise of ""The Silence of the Lambs""?","movie name: The Silence of the Lambs
movie release date: 1991
movie plot: A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.
rating: 8.6"
"In which year was ""Schindler's List"" released?","movie name: Schindler's List
movie release date: 1993
movie plot: In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
rating: 9.0"
"Describe the plot of ""Fight Club"".","movie name: Fight Club
movie release date: 1999
movie plot: An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.
rating: 8.8"
"When was ""The Shawshank Redemption"" first screened?","movie name: The Shawshank Redemption
movie release date: 1994
movie plot: Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
rating: 9.3"
